,tweet,source,created_at,compound,positive,neutral,negative
0,"Ron DeSantis, a once-little known conservative congressman, vaulted to victory in the Florida governor’s primary on… https://t.co/5gbb2oSxLl",@nytimes,2018-08-29 00:11:02+00:00,0.0,0.0,1.0,0.0
1,"Florida primary election live results
https://t.co/vZKTxiT9he",@nytimes,2018-08-29 00:02:04+00:00,0.0,0.0,1.0,0.0
2,“She had a smile on her face. She looked at peace.” Long lines of fans remember Aretha Franklin at a public viewing… https://t.co/GWSSFzwIx5,@nytimes,2018-08-28 23:51:02+00:00,0.3612,0.111,0.889,0.0
3,"RT @joshbarone: Three male principal dancers are out at New York City Ballet: 
- Chase Finlay resigned
- Zachary Catazaro and Amar Ramasar…",@nytimes,2018-08-28 23:41:02+00:00,-0.25,0.0,0.909,0.091
4,Peter Polansky may be tennis’s luckiest loser. The Canadian player lost his way into the main draw of all of the Gr… https://t.co/ScUpCNy0sl,@nytimes,2018-08-28 23:32:06+00:00,-0.2023,0.132,0.676,0.193
5,"RT @shearm: Also, @realDonaldTrump noted that Pastor Jeffress said Trump is not ""the perfect human being, but he’s the greatest leader for…",@nytimes,2018-08-28 23:17:47+00:00,0.7004,0.209,0.719,0.072
6,RT @shearm: UPDATED SCOOP: I’ve added a bit more to my story about @realDonaldTrump remarks to evangelicals after getting more audio. POTUS…,@nytimes,2018-08-28 23:17:04+00:00,0.3254,0.104,0.896,0.0
7,First election results are coming in from Florida. Follow the vote here. https://t.co/7RamiEZNDR,@nytimes,2018-08-28 23:12:13+00:00,0.0,0.0,1.0,0.0
8,Evening Briefing: Here's what you need to know at the end of the day https://t.co/FeQdvkHIMy,@nytimes,2018-08-28 23:02:08+00:00,0.0,0.0,1.0,0.0
9,An ex-CIA officer running for Congress in Virginia accused a GOP super PAC of leaking her security clearance papers… https://t.co/28boJRpMTa,@nytimes,2018-08-28 22:47:02+00:00,0.6249,0.257,0.653,0.09
10,RT @tackettdc: A former CIA officer turned House candidate in Virginia says that a Republican-aligned Super Pac improperly disclosed her se…,@nytimes,2018-08-28 22:31:06+00:00,0.5994,0.178,0.822,0.0
11,Too many bees (and puns) to count at a Times Square hot dog stand https://t.co/blTQ0iuoi9,@nytimes,2018-08-28 22:17:05+00:00,0.0,0.0,1.0,0.0
12,A white former police officer in Texas was found guilty of murder after fatally shooting 15-year-old Jordan Edwards… https://t.co/kGBctvVZ8Z,@nytimes,2018-08-28 22:00:11+00:00,-0.9136,0.0,0.562,0.438
13,An audiotape of President Trump's remarks was provided to The New York Times by someone who attended the event. Her… https://t.co/aiyIt5m9mV,@nytimes,2018-08-28 21:45:01+00:00,0.0,0.0,1.0,0.0
14,"RT @cliffordlevy: @NYTMetro @palafo “In the bees’ brief brush with fame, they attracted hundreds of onlookers and inspired some embarrassin…",@nytimes,2018-08-28 21:32:04+00:00,0.836,0.344,0.656,0.0
15,What occurs during the life of a plant? Do telomeres play a role in longevity? https://t.co/eXGQGmLLh8,@nytimes,2018-08-28 21:17:06+00:00,0.4137,0.175,0.825,0.0
16,This Greek-style broiled shrimp recipe is ready in just 10 minutes https://t.co/ki2ksaU0Oe https://t.co/9NRxLEPyir,@nytimes,2018-08-28 21:00:25+00:00,0.3612,0.172,0.828,0.0
17,"RT @juliehdavis: ""You’re one election away from losing everything you’ve got,” Trump told evangelical leaders last night at the White House…",@nytimes,2018-08-28 20:45:08+00:00,-0.3818,0.0,0.885,0.115
18,"In remarks to evangelical ministers, President Trump spoke about religious liberty, abortion and youth unemployment… https://t.co/eg16hwGq8Q",@nytimes,2018-08-28 20:35:39+00:00,0.5267,0.185,0.815,0.0
19,Correction: A previous version of this tweet included a typo. The tweet pictured below has since been deleted. https://t.co/azsF7Lfaew,@nytimes,2018-08-28 20:27:48+00:00,0.0,0.0,1.0,0.0
20,A books dealer and a library archivist have been accused of stealing about 300 rare books and other artifacts — inc… https://t.co/M9EMmQwipn,@nytimes,2018-08-28 20:18:43+00:00,-0.7096,0.0,0.742,0.258
21,RT @TimHerrera: We're all afraid to talk about money. Here's how to break the taboo https://t.co/5hcf8aA70H by @thewildwong,@nytimes,2018-08-28 20:15:05+00:00,0.0,0.0,1.0,0.0
22,"France's environment minister resigned during a live radio interview, saying the government was not doing enough to… https://t.co/HtnUX4Cp1o",@nytimes,2018-08-28 20:00:14+00:00,-0.25,0.0,0.889,0.111
23,"“As a Democrat in Arizona, I voted for McCain as senator because I felt he was a leader for all.” Democratic reader… https://t.co/638u9MCxU9",@nytimes,2018-08-28 19:45:05+00:00,0.0,0.0,1.0,0.0
24,"52 Places Traveler: A pilgrimage to Ypres, a small city in Belgium where the remembrance of World War I is ritualiz… https://t.co/DtbOAnPdZn",@nytimes,2018-08-28 19:30:05+00:00,-0.5994,0.0,0.822,0.178
25,"Nearly 3,000 more deaths than expected occurred in the months after Hurricane Maria, a new report says https://t.co/f9rgnZT9Tj",@nytimes,2018-08-28 19:15:01+00:00,0.0,0.0,1.0,0.0
26,"RT @thunderwooddd: Today's the day! More than 20,000 people applied to work with me on The Edit, a @nytimes newsletter for college students…",@nytimes,2018-08-28 19:07:05+00:00,0.0,0.0,1.0,0.0
27,"Over the years, Ethan Hawke somehow worn his critics down with his earnestness and his dedication and his sincerity… https://t.co/fMFjE1rMZ1",@nytimes,2018-08-28 19:00:08+00:00,-0.5267,0.0,0.804,0.196
28,RT @NYTmag: Bees love protein patties. https://t.co/RcSjKfDQ0k https://t.co/TzxcHxonkF,@nytimes,2018-08-28 18:55:28+00:00,0.6369,0.375,0.625,0.0
29,"“The reason Elon seems to attract drama is that he is so transparent, so open, in a way that can come back to bite… https://t.co/8O6BlhFGCy",@nytimes,2018-08-28 18:45:05+00:00,0.3612,0.098,0.902,0.0
30,From cocktail hideways to a taste of West Africa: Here are 15 fall New York City restaurant openings you should kno… https://t.co/L4EmLPJb3K,@nytimes,2018-08-28 18:30:06+00:00,0.0,0.0,1.0,0.0
31,RT @tmagazine: How the common weed has grown on florists (and chefs) https://t.co/E36G3I26pW https://t.co/tssJmLiE4D,@nytimes,2018-08-28 18:25:06+00:00,0.0,0.0,1.0,0.0
32,"""We were two journalists with four cameras, a microphone, a tripod and notebooks trying to be unobtrusive amid the… https://t.co/t9v50qS1c0",@nytimes,2018-08-28 18:22:58+00:00,0.0,0.0,1.0,0.0
33,Canada's foreign minister rushed to Washington as top trade officials reiterated that the U.S. is prepared to leave… https://t.co/Tu9USBNbGn,@nytimes,2018-08-28 18:15:07+00:00,0.4019,0.179,0.821,0.0
34,Oklahoma primary runoff election results. Follow along here. https://t.co/0fkYghQPMh,@nytimes,2018-08-28 18:04:04+00:00,0.0,0.0,1.0,0.0
35,Arizona primary election results. Follow along here. https://t.co/xRVhugVtxE,@nytimes,2018-08-28 18:02:03+00:00,0.0,0.0,1.0,0.0
36,Florida primary election results. Follow along here. https://t.co/FxaswRkfwi,@nytimes,2018-08-28 18:00:08+00:00,0.0,0.0,1.0,0.0
37,"RT @adeelnyt: Emmett Till, 14, entered a white-owned store in Money, Miss. for less than one minute. It cost him his life 63 years ago toda…",@nytimes,2018-08-28 17:30:08+00:00,-0.1531,0.0,0.938,0.062
38,"The president of the French Tennis Federation said Serena Williams' catsuit ""didn't respect the game."" But that rai… https://t.co/OByhj6OrgN",@nytimes,2018-08-28 17:20:06+00:00,-0.3724,0.0,0.876,0.124
39,RT @ShaneGoldmacher: Some context on this: Cuomo keeps his offices icy cool. The NYT first wrote about it (hey @Liz_A_Harris: https://t.co/…,@nytimes,2018-08-28 17:10:09+00:00,0.3182,0.103,0.897,0.0
40,Our Moscow correspondent examines how the Kremlin and its propaganda machine cast John McCain as the central protag… https://t.co/bW4ZpPWlb0,@nytimes,2018-08-28 17:00:06+00:00,-0.25,0.0,0.9,0.1
41,"In Opinion

Jack Shenker writes, ""Since the Brexit referendum, we’ve seen the emergence of a host of abstract nouns… https://t.co/SO2I55ALq5",@nytimes,2018-08-28 16:45:04+00:00,0.0,0.0,1.0,0.0
42,"RT @nytimesarts: Earlier this year, Abby Schachner — one of five women who came forward to detail Louis C.K.'s inappropriate behavior — spo…",@nytimes,2018-08-28 16:40:07+00:00,0.0,0.0,1.0,0.0
43,"RT @NYTmag: ""Serena’s excellence comes with the ability to imagine herself achieving a new kind of history for all of us."" https://t.co/9dr…",@nytimes,2018-08-28 16:30:09+00:00,0.7506,0.252,0.748,0.0
44,You know that study that said no amount of alcohol is safe to drink? It's more complicated than you think. https://t.co/87fPUJmOW0,@nytimes,2018-08-28 16:15:10+00:00,0.1779,0.12,0.788,0.091
45,Andrew Cuomo and Cynthia Nixon are set to have their first and only debate on Wednesday. But before they even take… https://t.co/XWwD2vVRID,@nytimes,2018-08-28 16:00:13+00:00,0.0,0.0,1.0,0.0
46,Day 2 of the U.S. Open has started. Here's what to watch. https://t.co/DGwnJ7vHT0,@nytimes,2018-08-28 15:52:01+00:00,0.0,0.0,1.0,0.0
47,"A group of students is suing Stanford, alleging that after reporting suicidal thoughts, they were required to withd… https://t.co/MmGMhOz9pK",@nytimes,2018-08-28 15:45:10+00:00,-0.765,0.0,0.708,0.292
48,Cultural treasures and art — including Neil Armstrong's spacesuit — are slowly disintegrating as the plastic that c… https://t.co/lcBCIlktQ9,@nytimes,2018-08-28 15:30:08+00:00,0.4215,0.149,0.851,0.0
49,Rotten Tomatoes has added 200 more critics in an effort to be more inclusive to female and minority voices https://t.co/6geGHOeBxm,@nytimes,2018-08-28 15:20:07+00:00,-0.6997,0.0,0.757,0.243
50,"Mysticism is taking over the internet, from astrology memes to Instagram crystals. Is it all nonsense or a much-nee… https://t.co/xbSMCqKb7z",@nytimes,2018-08-28 15:10:07+00:00,-0.4019,0.0,0.87,0.13
51,"RT @nytimesworld: When an 11-year-old Dutch schoolboy was murdered in 1998, no DNA matches were found for a potential suspect. Now, a natio…",@nytimes,2018-08-28 15:00:09+00:00,-0.8316,0.0,0.672,0.328
52,"A group of migrants were caught illegally entering the Australian mainland by sea this week, after they survived a… https://t.co/d73rMlrDY6",@nytimes,2018-08-28 14:44:05+00:00,0.5106,0.155,0.845,0.0
53,"Over a few short August days, all the anxiety and rage of 1968 exploded in the streets of Chicago. Fifty years late… https://t.co/jf18FKvpn2",@nytimes,2018-08-28 14:29:03+00:00,-0.6486,0.0,0.791,0.209
54,President Trump attacked Google for what he claimed was an effort to intentionally suppress conservative views supp… https://t.co/qqGRsthAEG,@nytimes,2018-08-28 14:00:07+00:00,-0.4588,0.0,0.85,0.15
55,Charles Kushner and Michael Cohen face scrutiny in New York for claims that they falsified construction permits in… https://t.co/kpc42w8BUq,@nytimes,2018-08-28 13:50:03+00:00,-0.3818,0.0,0.874,0.126
56,"Louis C.K., who admitted to sexual misconduct last year, was greeted with an ovation at the Comedy Cellar on Sunday… https://t.co/LBH63RlLhE",@nytimes,2018-08-28 13:40:03+00:00,0.6124,0.25,0.75,0.0
57,Talking about money is important. So how do we begin?https://t.co/t1egXSyjy4,@nytimes,2018-08-28 13:15:08+00:00,0.2023,0.167,0.833,0.0
58,Morning Briefing: Here's what you need to know to start your day https://t.co/26TQMgidy4 https://t.co/hSEYsnMRx3,@nytimes,2018-08-28 13:00:08+00:00,0.0,0.0,1.0,0.0
59,Scientists from the University of Delaware have created a hearing test for ducks. Here's what they found. https://t.co/YPm3iEa4Og,@nytimes,2018-08-28 12:45:04+00:00,0.25,0.111,0.889,0.0
60,This commuter bus took nearly 3 hours to get to Manhattan. It was the express. https://t.co/LsiEF1PsKh https://t.co/EdxzmyW7IR,@nytimes,2018-08-28 12:30:17+00:00,0.0,0.0,1.0,0.0
61,An ideologically motivated opposition has weaponized the church's sex abuse crisis to threaten not only Francis' ag… https://t.co/ivdGC6GGCm,@nytimes,2018-08-28 12:14:04+00:00,-0.836,0.108,0.502,0.391
62,"Protesters flashing Nazi salutes and shouting ""Foreigners out"" clashed Monday night with counterdemonstrators chant… https://t.co/MS070RKoNq",@nytimes,2018-08-28 12:01:04+00:00,-0.2263,0.0,0.881,0.119
63,"""Our mothers here, they come for help,"" a pediatrician said. ""And you pity them. You can't do anything."" https://t.co/7Jd2v253xi",@nytimes,2018-08-28 11:44:06+00:00,-0.296,0.0,0.885,0.115
64,Joe Arpaio grimaced as he called himself “stupid” for being pranked by Sacha Baron Cohen. He thundered against poll… https://t.co/XQU1pAq6Iv,@nytimes,2018-08-28 11:31:05+00:00,-0.4588,0.0,0.864,0.136
65,The war inside the Catholic Church https://t.co/6RtEAqXbwJ https://t.co/ZsMXbFcJCk,@nytimes,2018-08-28 11:21:05+00:00,-0.5994,0.0,0.642,0.358
66,Arizona and Florida have primaries today. Here are the most interesting races to watch. https://t.co/CzAD0zzyWr,@nytimes,2018-08-28 11:10:05+00:00,0.4576,0.176,0.824,0.0
67,Thousands of Americans will turn out this week to honor and reflect on Senator John McCain's life. Here's how to pa… https://t.co/Q7KZOoP5HV,@nytimes,2018-08-28 11:00:11+00:00,0.4939,0.132,0.868,0.0
68,Morning Briefing: Here's what you need to know to start your day https://t.co/lH3IdfwKWR https://t.co/R8QBWpo21b,@nytimes,2018-08-28 10:45:07+00:00,0.0,0.0,1.0,0.0
69,An archbishop released a letter claiming that Pope Francis knew of sexual misconduct by Cardinal Theodore McCarrick… https://t.co/N0sqJ0xMtD,@nytimes,2018-08-28 10:31:03+00:00,0.0,0.0,1.0,0.0
70,"""I lived and died a proud American."" Senator John McCain's farewell statement: https://t.co/rjtL3BgGvQ",@nytimes,2018-08-28 10:15:03+00:00,-0.128,0.186,0.599,0.216
71,RT @nytimesworld: Their relatives died in the drug war in the Philippines. Now they want to hold Rodrigo Duterte accountable. https://t.co/…,@nytimes,2018-08-28 10:00:08+00:00,-0.802,0.049,0.672,0.28
72,“Magic Mike” and the “50 Shades of Grey” franchise have helped make male ogling big business in recent years. But m… https://t.co/Srbz4pft5w,@nytimes,2018-08-28 09:45:04+00:00,0.0,0.0,1.0,0.0
73,A wave of designer probiotic pills and powders is based on the idea that perfect skin may be linked to your tummy https://t.co/f5QL9ny2wz,@nytimes,2018-08-28 09:30:04+00:00,0.5719,0.15,0.85,0.0
74,"Russia's highest-profile opposition leader, Aleksei Navalny, was sentenced to 30 days in jail for a protest that ha… https://t.co/FVCK1pROSP",@nytimes,2018-08-28 09:15:06+00:00,-0.2732,0.0,0.838,0.162
75,The 17th-seeded Serena Williams returned to the United States Open with a fairly routine win https://t.co/8TZOKzL1Dx,@nytimes,2018-08-28 09:00:11+00:00,0.765,0.337,0.663,0.0
76,"Quit avocado. Choose bikes, not taxis. Don’t have kids. China’s consumers are downgrading, and the world could feel… https://t.co/oKouxZlBse",@nytimes,2018-08-28 08:30:10+00:00,0.0,0.0,1.0,0.0
77,"The pope’s vague answer has only heightened public interest, particularly in the core accusation — that he was told… https://t.co/9BXEsTZ02a",@nytimes,2018-08-28 08:15:03+00:00,0.1531,0.134,0.714,0.152
78,"For over a year, the Chinese government has withheld lab samples of a rapidly evolving influenza virus from the Uni… https://t.co/HbZUnD7QLl",@nytimes,2018-08-28 08:00:10+00:00,0.0,0.0,1.0,0.0
79,A key ally of South Korea's leader is accused of working with online bloggers to try to illegally manipulate public… https://t.co/ReWRaaSVGu,@nytimes,2018-08-28 07:45:06+00:00,-0.296,0.0,0.896,0.104
80,"For the first time in nearly 4 years, a group of migrants were caught illegally entering the Australian mainland by… https://t.co/7azRPhGoHi",@nytimes,2018-08-28 07:30:03+00:00,0.0,0.0,1.0,0.0
81,North Korean state media criticized the United States for “extremely provocative and dangerous military moves” in P… https://t.co/pL89wK6OMn,@nytimes,2018-08-28 07:15:06+00:00,-0.4215,0.12,0.641,0.239
82,"We’re discouraged from talking about money at every turn, but if you want to fix your financial situation, talking… https://t.co/V26CxkElax",@nytimes,2018-08-28 07:00:07+00:00,-0.1027,0.068,0.845,0.087
83,"The cave bear, extinct for thousands of years, lives on in today's brown bears, a new study shows. ""Extinction does… https://t.co/3FtRUbUKCp",@nytimes,2018-08-28 06:45:05+00:00,0.0,0.0,1.0,0.0
84,RT @suhasiniraj: We met Gajendran in the hospital a couple of months back. He was beaten up alongside his mother in law Rukmini who died th…,@nytimes,2018-08-28 06:39:33+00:00,-0.7506,0.0,0.782,0.218
85,"RT @jotted: ""Given that this flu virus is a potential threat to humanity, not sharing it immediately with the global network of W.H.O. labo…",@nytimes,2018-08-28 06:30:00+00:00,-0.8286,0.0,0.696,0.304
86,A yoga ball filled with carbon monoxide. An affair between a professor and his student. A dead wife and daughter. https://t.co/53uAXV0537,@nytimes,2018-08-28 06:15:04+00:00,-0.6486,0.0,0.798,0.202
87,🗣️ Can I live? https://t.co/vQHttgrqny,@nytimes,2018-08-28 06:00:01+00:00,0.0,0.0,1.0,0.0
88,"“This was the biggest DNA investigation in the Netherlands so far, and we’re proud of it.” An inquiry using DNA fro… https://t.co/zxpPIO4PRv",@nytimes,2018-08-28 05:45:03+00:00,0.4767,0.129,0.871,0.0
89,"“I cannot imagine any metric in which an agreement between the U.S. and Mexico can be the largest,” a trade expert https://t.co/KOEkSnh1Np",@nytimes,2018-08-28 05:30:08+00:00,0.4939,0.138,0.862,0.0
90,"In a remarkable break from usual decorum, American Catholic leaders are in open conflict over the explosive allegat… https://t.co/JTnElx2sMx",@nytimes,2018-08-28 05:15:05+00:00,0.3182,0.164,0.731,0.105
91,"Brands are reintroducing products for new generations. “What’s old is new again."" https://t.co/a8BZYz05BV",@nytimes,2018-08-28 05:04:31+00:00,0.0,0.0,1.0,0.0
92,"RT @nytopinion: “The church was in every part of my life. That moment in Galway [in 1979] when the pope said, ‘Young people of Ireland, I l…",@nytimes,2018-08-28 04:47:05+00:00,0.0,0.0,1.0,0.0
93,"By experimenting with tiny textures, scientists may have found a way to reduce the impact of barnacles, which add b… https://t.co/AJdQ8posnu",@nytimes,2018-08-28 04:32:07+00:00,0.0,0.0,1.0,0.0
94,"RT @viaSimonRomero: I interviewed Joe Arpaio in Arizona &amp; we discussed many things, among them the pummeling he’s taking in the Senate race…",@nytimes,2018-08-28 04:17:08+00:00,0.0,0.0,1.0,0.0
95,"Louis C.K. made an unannounced appearance at a New York City comedy club, performing there for the first time since… https://t.co/dZtIfKiGXJ",@nytimes,2018-08-28 04:02:05+00:00,0.3612,0.116,0.884,0.0
96,The student loan watchdog blasted the Trump administration for protecting predatory lenders at the expense of borro… https://t.co/vu5y0UDb7y,@nytimes,2018-08-28 03:47:06+00:00,0.0,0.0,1.0,0.0
97,"Rose McGowan, one of the leading voices of the #MeToo movement, has spoken out on the Asia Argento allegations. She… https://t.co/5iPVaJnCHA",@nytimes,2018-08-28 03:32:02+00:00,0.0,0.0,1.0,0.0
98,"RT @katierogers: The president ignored pleas from top advisers, including VP Pence, Kelly, Sanders and Shine to issue a unifying and prompt…",@nytimes,2018-08-28 03:17:03+00:00,-0.128,0.078,0.823,0.1
99,Why did the interview with Sarah Palin never air on Sacha Baron Cohen’s “Who Is America?” Showtime isn’t saying. https://t.co/GhaJuMambb,@nytimes,2018-08-28 03:02:06+00:00,0.0,0.0,1.0,0.0
100,Mom punches homeless woman to stop alleged kidnapping of daughter: records https://t.co/kTA7By9E9g,@FoxNews,2018-08-29 00:14:14+00:00,-0.296,0.0,0.833,0.167
101,"BREAKING: Trump-backed Florida Rep. DeSantis wins GOP primary race for Florida governor, Fox News projects. https://t.co/1Tn4dpNToH",@FoxNews,2018-08-29 00:03:50+00:00,0.5719,0.198,0.802,0.0
102,Missouri becomes first state to issue law protecting citizens from accidentally buying fake meat. https://t.co/qtM6tGsgLm,@FoxNews,2018-08-28 23:58:35+00:00,-0.6705,0.0,0.703,0.297
103,"MS-13 gang member arrested after he re-entered US illegally, Border Patrol says. https://t.co/JfudMBr3Hp",@FoxNews,2018-08-28 23:44:42+00:00,-0.4767,0.0,0.795,0.205
104,".@MZHemingway on NC redistricting ruling: ""It throws the entire state into chaos and it disenfranchises an entire s… https://t.co/MclIbutDdK",@FoxNews,2018-08-28 23:38:00+00:00,-0.5719,0.0,0.829,0.171
105,"Brett Kavanaugh backed by Bob Bennett, Bill Clinton's Paula Jones-era lawyer. (via @nicoledarrah) https://t.co/ifUt1PuDVh",@FoxNews,2018-08-28 23:34:20+00:00,0.0258,0.078,0.922,0.0
106,Toddler's death after leaving immigration facility leads to $40 million legal claim. https://t.co/H2dXw2vJuI,@FoxNews,2018-08-28 23:28:45+00:00,-0.5267,0.091,0.671,0.238
107,.@USCG and @USNavy bomb technicians are working to retrieve what looks like an unexploded mine that was spotted flo… https://t.co/9nxUVCEhu3,@FoxNews,2018-08-28 23:20:50+00:00,-0.1779,0.105,0.759,0.135
108,Google CEO slammed by lawmakers for declining to testify at Senate hearing. https://t.co/TDjJfdQd8r,@FoxNews,2018-08-28 23:19:03+00:00,0.0,0.0,1.0,0.0
109,"Sen. @ChrisCoons on calls for postponement of Kavanaugh proceedings: ""At the end of the day what matters here is, a… https://t.co/3Q9ihRRuFs",@FoxNews,2018-08-28 23:11:53+00:00,0.0258,0.052,0.948,0.0
110,".@POTUS honors anniversary of MLK 'I Have a Dream' speech touting his policies, hope for America https://t.co/xPX2JgNWF3",@FoxNews,2018-08-28 22:56:52+00:00,0.7579,0.374,0.548,0.078
111,"Secretary Mattis: ""We took the step to suspend several of the largest exercises as a good-faith measure coming out… https://t.co/5VdOHKTBCq",@FoxNews,2018-08-28 22:49:20+00:00,-0.3182,0.0,0.887,0.113
112,".@SenatorBerger: ""I think the fairest way to do it is to let the people elect the legislators and let the legislato… https://t.co/KOlrveb3lO",@FoxNews,2018-08-28 22:37:38+00:00,0.0,0.0,1.0,0.0
113,Phil Keating reports on the tight gubernatorial race in Florida. #SpecialReport  https://t.co/vRKSDUGh21 https://t.co/07aiV9PzT3,@FoxNews,2018-08-28 22:26:59+00:00,0.0,0.0,1.0,0.0
114,".@pdoocy reports on today's Arizona @GOP Senate primary, including problems with voting machines. #SpecialReport… https://t.co/SS3reyYSwW",@FoxNews,2018-08-28 22:20:42+00:00,-0.4019,0.0,0.838,0.162
115,Parents of baby misdiagnosed with terminal brain condition in utero left fate 'in God's hands'  https://t.co/auuUttgZpU,@FoxNews,2018-08-28 22:13:34+00:00,0.0,0.0,1.0,0.0
116,"Florida Senate race between Scott, Nelson expected to be competitive and costly. https://t.co/z1qUScfXfV",@FoxNews,2018-08-28 22:03:25+00:00,0.0772,0.121,0.78,0.099
117,Pope Francis facing calls to resign; sexual abuse scandal exposes rifts in the Vatican. https://t.co/AAQvL8xpIE,@FoxNews,2018-08-28 21:55:00+00:00,-0.875,0.0,0.5,0.5
118,Texas ex-cop Roy Oliver convicted of murdering unarmed teen Jordan Edwards. https://t.co/68b9xg76dM,@FoxNews,2018-08-28 21:49:00+00:00,-0.6486,0.0,0.719,0.281
119,California to become first state eliminating bail for suspects awaiting trial. https://t.co/BNqyCuUQU6,@FoxNews,2018-08-28 21:43:00+00:00,-0.34,0.0,0.821,0.179
